Study,Outcome,Data type,Effect measure,Domain (judgement): Bias arising from the randomization process,Domain (support): Bias arising from the randomization process,Domain (judgement): Bias due to deviations from intended interventions,Domain (support): Bias due to deviations from intended interventions,Domain (judgement): Bias due to missing outcome data,Domain (support): Bias due to missing outcome data,Domain (judgement): Bias in measurement of the outcome,Domain (support): Bias in measurement of the outcome,Domain (judgement): Bias in selection of the reported result,Domain (support): Bias in selection of the reported result,Domain (judgement): Overall bias,Domain (support): Overall bias
Lauffenburger 2019,Medication adherence End of study,Arm level,,Low risk,"<p>Quote: ""Subjects were randomized by Horizon in a 1:1 ratio to the intervention or usual care group using a random number generator.""<br>Comments: This study showed that baseline characteristics were not different between the two groups.&nbsp;</p>",Low risk,"<p>Quote: ""Study subjects and pharmacists interacting with patients were not blinded to group assignment.""<br>Quote: ""Study investigators and data analysts remained blinded until all follow-up data were obtained, and the analyses were finalized.""<br>Quote: ""For the analyses, we used intention-to-treat principles for all randomized patients, i.e.,<br>regardless of whether patients actually received the intervention.""</p>",Low risk,"<p>Quote: ""There was no missing data for the adherence outcomes.""</p>",Low risk,"<p>Quote: ""Adnerence was measured by linking all overved fills based on dispensing data and days' supply.""<br>Comments: The same measurements are used for all participants.&nbsp;<br>Quote: ""Study investigators and data analysts remained blinded until all follow-up data were obtained, and the analyses were finalized.""</p>",Low risk,<p>Comments: Analysis methods are reported in the protocol in advance.<br>Comments: Analysis methods are reported in the protocol in advance.<br>Comments: Analysis methods are reported in the protocol in advance.</p>,Low risk,"<p>The overall risk of bias was judged to be low.<br>All domains were assessed as low risk, including those related to the randomisation process, deviations from intended interventions, missing outcome data, outcome measurement, and selection of the reported result. No concerns were identified that would raise the possibility of bias affecting the study results.</p>"
Margolis 2013,Clinical measurements: diastolic blood pressure,Arm level,,Low risk,"<p>Quote: ""Clinics were blocked by size and clinic-level baseline BP control in 2010 in order to balance those factors across study arms."" (From protocol)<br>Quote: ""All consenting patients were masked to treatment assignment before randomization, but treatment was necessarily unmasked after randomization.""<br>Comments: Baseline Characteristics did not show any differences.</p>",,,,,,,,,,
Margolis 2013,Clinical measurements: diastolic blood pressure End of study,Arm level,,Low risk,"<p>Quote: ""Clinics were blocked by size and clinic-level baseline BP control in 2010 in order to balance those factors across study arms."" (From protocol)<br>Quote: ""All consenting patients were masked to treatment assignment before randomization, but treatment was necessarily unmasked after randomization.""<br>Comments: Baseline Characteristics did not show any differences.</p>",Some concerns,"<p>Comments: Due to the nature of the study.<br>Quote main paper P. 3, ""All enrolled patients provided written informed consent""<br>Quote: ""All consenting patients and primary care providers were blinded to the study design and intervention assignment of the clinics, although each patient and their primary care provider were informed of their treatment assignment after randomization. Research clinic coordinators were not blinded to clinics’ treatment assignments, but were trained to treat patients in both study arms identically.""(from protocol)<br>Comments: There are no mentioned about deviations from the intended intervention. The number of people in both groups who lost to follow-up was comparable (Fig. 1).<br>Comments: See Fig. 1 in the full article. The analysis has been carried out by per-protocol.&nbsp;<br>Analysis: IG 228 → 194, CG 222 → 188.<br>Comments: Because the proportion of exclusions is similar in both groups (Fig. 1).</p>",Low risk,"<p>Comments: There is no description. Even if it is after randomization, the number of people for whom outcomes could be measured at the time of analysis was 188/228 (82%) in the intervention group and 182/222 (82%) in the control group, with missing values exceeding 7% in both groups.<br>Comments: There is no description. Even if it is after randomization, the number of people for whom outcomes could be measured at the time of analysis was 188/228 (82%) in the intervention group and 182/222 (82%) in the control group, with missing values exceeding 7% in both groups.<br>Quote: ""We used generalized linear mixed models with a logit link and a random intercept for clinic to test the effect of the intervention on the binary outcomes of BP control at 6, 12 and 18 months. For continuous and binary measures obtained over time we used general and generalized linear mixed models with a time period (categories of baseline, 6 months, 12 months, 18 months) by study group interaction term and an additional random term to model the repeated measures from baseline to 6, 12 and 20 months, assuming data were missing at random. To account for missing data on continuous outcomes we used maximum likelihood based ignorable methods that yield valid inference when the outcome data are missing at random.""</p>",Low risk,"<p>Quote in Protocol: ""Blood pressure is measured at these visits using an automated monitor identical to the home BP telemonitor but not connected to a modem. Three measurements are taken with at least 30 s between cuff inflations, and the three measurements are averaged. Measurements are performed in the right upper arm with an appropriately sized cuff after the patient has been seated quietly for 5 min with the back supported, arm supported at the level of the heart, and feet placed flat on the floor.""<br>Comments: Method of measuring outcomes did not differ between groups<br>Quote: ""All consenting patients and primary care providers were blinded to the study design and intervention assignment of the clinics, although each patient and their primary care provider were informed of their treatment assignment after randomization. Research clinic coordinators were not blinded to clinics’ treatment assignments, but were trained to treat patients in both study arms identically."" (from protocol)&nbsp;<br>Quote: ""All consenting patients and primary care providers were blinded to the study design and intervention assignment of the clinics, although each patient and their primary care provider were informed of their treatment assignment after randomization. Research clinic coordinators were not blinded to clinics’ treatment assignments, but were trained to treat patients in both study arms identically."" (from protocol)<br>Comments: I consider the impact to be low because of the blood pressure measurements (objective data).</p>",Low risk,<p>Comments: See 4.3. Statistical analyses in protocol.<br>Comments: See 4.3. Statistical analyses in protocol.<br>Comments: See 4.3. Statistical analyses in protocol.</p>,Some concerns,"<p>The overall risk of bias was judged to be of some concerns.<br>Although the study was at low risk of bias in most domains, there were some concerns regarding deviations from intended interventions (Domain 2), which may have introduced a minor risk of bias affecting the study outcomes.<br>Domain 1b judgement: Low. Domain 1b Support: Recruitment before randomisation.</p>"
Margolis 2013,Clinical measurements: systolic blood pressure,Arm level,,Low risk,"<p>Quote: ""Clinics were blocked by size and clinic-level baseline BP control in 2010 in order to balance those factors across study arms."" (From protocol)<br>Quote: ""All consenting patients were masked to treatment assignment before randomization, but treatment was necessarily unmasked after randomization.""<br>Comments: Baseline Characteristics did not show any differences.</p>",,,,,,,,,,
Margolis 2013,Clinical measurements: systolic blood pressure End of study,Arm level,,Low risk,"<p>Quote: ""Clinics were blocked by size and clinic-level baseline BP control in 2010 in order to balance those factors across study arms."" (From protocol)<br>Quote: ""All consenting patients were masked to treatment assignment before randomization, but treatment was necessarily unmasked after randomization.""<br>Comments: Baseline Characteristics did not show any differences.</p>",Some concerns,"<p>Comments: Due to the nature of the study.<br>Quote main paper P. 3, ""All enrolled patients provided written informed consent""<br>Quote: ""All consenting patients and primary care providers were blinded to the study design and intervention assignment of the clinics, although each patient and their primary care provider were informed of their treatment assignment after randomization. Research clinic coordinators were not blinded to clinics’ treatment assignments, but were trained to treat patients in both study arms identically.""(from protocol)<br>Comments: There are no mentioned about deviations from the intended intervention. The number of people in both groups who lost to follow-up was comparable (Fig. 1).<br>Comments: See Fig. 1 in the full article. The analysis has been carried out by per-protocol.&nbsp;<br>Analysis: IG 228→194, CG 222→188.<br>Comments: Because the proportion of exclude is similar in both groups (Fig. 1).</p>",Low risk,"<p>Comments: There is no description. Even if it is after randomization, the number of people for whom outcomes could be measured at the time of analysis was 188/228 (82%) in the intervention group and 182/222 (82%) in the control group, with missing values exceeding 7% in both groups.<br>Comments: There is no description. Even if it is after randomization, the number of people for whom outcomes could be measured at the time of analysis was 188/228 (82%) in the intervention group and 182/222 (82%) in the control group, with missing values exceeding 7% in both groups.<br>Quote: ""We used generalized linear mixed models with a logit link and a random intercept for clinic to test the effect of the intervention on the binary outcomes of BP control at 6, 12 and 18 months. For continuous and binary measures obtained over time we used general and generalized linear mixed models with a time period (categories of baseline, 6 months, 12 months, 18 months) by study group interaction term and an additional random term to model the repeated measures from baseline to 6, 12 and 20 months, assuming data were missing at random. To account for missing data on continuous outcomes we used maximum likelihood based ignorable methods that yield valid inference when the outcome data are missing at random.""</p>",Low risk,"<p>Quote in Protocol: ""Blood pressure is measured at these visits using an automated monitor identical to the home BP telemonitor but not connected to a modem. Three measurements are taken with at least 30 s between cuff inflations, and the three measurements are averaged. Measurements are performed in the right upper arm with an appropriately sized cuff after the patient has been seated quietly for 5 min with the back supported, arm supported at the level of the heart, and feet placed flat on the floor.""<br>Comments: Method of measuring outcomes did not differ between groups<br>Quote: ""All consenting patients and primary care providers were blinded to the study design and intervention assignment of the clinics, although each patient and their primary care provider were informed of their treatment assignment after randomization. Research clinic coordinators were not blinded to clinics’ treatment assignments, but were trained to treat patients in both study arms identically."" (from protocol)&nbsp;<br>Quote: ""All consenting patients and primary care providers were blinded to the study design and intervention assignment of the clinics, although each patient and their primary care provider were informed of their treatment assignment after randomization. Research clinic coordinators were not blinded to clinics’ treatment assignments, but were trained to treat patients in both study arms identically."" (from protocol)<br>Comments: I consider the impact to be low because of the blood pressure measurements (objective data).</p>",Low risk,<p>Comments: See 4.3. Statistical analyses in protocol.<br>Comments: See 4.3. Statistical analyses in protocol.<br>Comments: See 4.3. Statistical analyses in protocol.</p>,Some concerns,"<p>The overall risk of bias was judged to be of some concerns.<br>While most domains were assessed as low risk of bias, some concerns arose in Domain 2 (bias due to deviations from intended interventions). These concerns slightly reduce confidence in the results, though not to a critical degree.<br>Domain 1b judgement: Low. Domain 1b Support: Recruitment before randomisation.</p>"
Margolis 2013,Medication adherence,Arm level,,Low risk,"<p>Quote: ""Clinics were blocked by size and clinic-level baseline BP control in 2010 in order to balance those factors across study arms."" (From protocol)<br>Quote: ""All consenting patients were masked to treatment assignment before randomization, but treatment was necessarily unmasked after randomization.""<br>Comments: Baseline Characteristics did not show any differences.</p>",,,,,,,,,,
Margolis 2013,Medication adherence 12 months,Arm level,,Low risk,"<p>Quote: ""Clinics were blocked by size and clinic-level baseline BP control in 2010 in order to balance those factors across study arms."" (From protocol)<br>Quote: ""All consenting patients were masked to treatment assignment before randomization, but treatment was necessarily unmasked after randomization.""<br>Comments: Baseline Characteristics did not show any differences.</p>",,,,,,,,,,
Margolis 2013,Medication adherence 18 months,Arm level,,Low risk,"<p>Quote: ""Clinics were blocked by size and clinic-level baseline BP control in 2010 in order to balance those factors across study arms."" (From protocol)<br>Quote: ""All consenting patients were masked to treatment assignment before randomization, but treatment was necessarily unmasked after randomization.""<br>Comments: Baseline Characteristics did not show any differences.</p>",,,,,,,,,,
Margolis 2013,Medication adherence 6 months,Arm level,,Low risk,"<p>Quote: ""Clinics were blocked by size and clinic-level baseline BP control in 2010 in order to balance those factors across study arms."" (From protocol)<br>Quote: ""All consenting patients were masked to treatment assignment before randomization, but treatment was necessarily unmasked after randomization.""<br>Comments: Baseline Characteristics did not show any differences.</p>",,,,,,,,,,
Margolis 2013,Medication adherence End of study,Arm level,,Low risk,"<p>Quote: ""Clinics were blocked by size and clinic-level baseline BP control in 2010 in order to balance those factors across study arms."" (From protocol)<br>Quote: ""All consenting patients were masked to treatment assignment before randomization, but treatment was necessarily unmasked after randomization.""<br>Comments: Baseline Characteristics did not show any differences.</p>",Some concerns,"<p>Comments: Due to the nature of the study.<br>Quote main paper P. 3, ""All enrolled patients provided written informed consent""<br>Quote: ""All consenting patients and primary care providers were blinded to the study design and intervention assignment of the clinics, although each patient and their primary care provider were informed of their treatment assignment after randomization. Research clinic coordinators were not blinded to clinics’ treatment assignments, but were trained to treat patients in both study arms identically.""(from protocol)<br>Comments: There are no mentioned about deviations from the intended intervention. The number of people in both groups who lost to follow-up was comparable (Fig. 1).<br>Comments: See Fig. 1 in the full article. The analysis has been carried out by per-protocol.&nbsp;<br>Analysis: IG 228→194, CG 222→186.<br>Comments: Because the proportion of exclude is similar in both groups (Fig. 1).</p>",Low risk,"<p>Comments: There is no description. Even if it is after randomization, the number of people for whom outcomes could be measured at the time of analysis was 188/228 (82%) in the intervention group and 182/222 (82%) in the control group, with missing values exceeding 5% in both groups.<br>Comments: There is no description. Even if it is after randomization, the number of people for whom outcomes could be measured at the time of analysis was 188/228 (82%) in the intervention group and 182/222 (82%) in the control group, with missing values exceeding 5% in both groups.<br>Quote: ""We used generalized linear mixed models with a logit link and a random intercept for clinic to test the effect of the intervention on the binary outcomes of BP control at 6, 12 and 18 months. For continuous and binary measures obtained over time we used general and generalized linear mixed models with a time period (categories of baseline, 6 months, 12 months, 18 months) by study group interaction term and an additional random term to model the repeated measures from baseline to 6, 12 and 18 months, assuming data were missing at random. To account for missing data on continuous outcomes we used maximum likelihood based ignorable methods that yield valid inference when the outcome data are missing at random.""</p>",High risk,"<p>Quote in Protocol: ""Adherence to those medications is assessed by self-report, using Morisky's 4-item scale (modified to focus on BP medications) ""<br>Comments: Method of measuring outcomes did not differ between groups<br>Comments: Self-reported scale.<br>Quote: ""All consenting patients and primary care providers were blinded to the study design and intervention assignment of the clinics, although each patient and their primary care provider were informed of their treatment assignment after randomization. Research clinic coordinators were not blinded to clinics’ treatment assignments, but were trained to treat patients in both study arms identically."" (from protocol)<br>Comments: Because of this scale, the outcome assessors were the participants.</p>",Low risk,<p>Comments: See 4.3. Statistical analyses in protocol.<br>Comments: See 4.3. Statistical analyses in protocol.<br>Comments: See 4.3. Statistical analyses in protocol.</p>,High risk,"<p>The overall risk of bias was judged to be high.<br>While most domains were judged to be at low risk or raised some concerns, Domain 4 (bias in measurement of the outcome) was judged to be at high risk of bias, which may seriously compromise the validity of the study results.<br>Domain 1b judgement: Low. Domain 1b Support: Recruitment before randomisation.</p>"
Margolis 2013,Patients’ satisfaction,Arm level,,Low risk,"<p>Quote: ""Clinics were blocked by size and clinic-level baseline BP control in 2010 in order to balance those factors across study arms."" (From protocol)<br>Quote: ""All consenting patients were masked to treatment assignment before randomization, but treatment was necessarily unmasked after randomization.""<br>Comments: Baseline Characteristics did not show any differences.</p>",,,,,,,,,,
Margolis 2013,Patients’ satisfaction End of study,Arm level,,Low risk,"<p>Quote: ""Clinics were blocked by size and clinic-level baseline BP control in 2010 in order to balance those factors across study arms."" (From protocol)<br>Quote: ""All consenting patients were masked to treatment assignment before randomization, but treatment was necessarily unmasked after randomization.""<br>Comments: Baseline Characteristics did not show any differences.</p>",Some concerns,"<p>Comments: Due to the nature of the study.<br>Quote main paper P. 3, ""All enrolled patients provided written informed consent""<br>Quote: ""All consenting patients and primary care providers were blinded to the study design and intervention assignment of the clinics, although each patient and their primary care provider were informed of their treatment assignment after randomization. Research clinic coordinators were not blinded to clinics’ treatment assignments, but were trained to treat patients in both study arms identically.""(from protocol)<br>Comments: There are no mentioned about deviations from the intended intervention. The number of people in both groups who lost to follow-up was comparable (Fig. 1).<br>Comments: See Fig. 1 in the full article. The analysis has been carried out by per-protocol.&nbsp;<br>Analysis: IG 228→194, CG 222→187.<br>Comments: Because the proportion of exclusions is similar in both groups (Fig. 1).</p>",Low risk,"<p>Comments: There is no description. Even if it is after randomisation, the number of people for whom outcomes could be measured at the time of analysis was 188/228 (82%) in the intervention group and 182/222 (82%) in the control group, with missing values exceeding 6% in both groups.<br>Comments: There is no description. Even if it is after randomization, the number of people for whom outcomes could be measured at the time of analysis was 188/228 (82%) in the intervention group and 182/222 (82%) in the control group, with missing values exceeding 6% in both groups.<br>Quote: ""We used generalized linear mixed models with a logit link and a random intercept for clinic to test the effect of the intervention on the binary outcomes of BP control at 6, 12 and 18 months. For continuous and binary measures obtained over time we used general and generalized linear mixed models with a time period (categories of baseline, 6 months, 12 months, 18 months) by study group interaction term and an additional random term to model the repeated measures from baseline to 6, 12 and 19 months, assuming data were missing at random. To account for missing data on continuous outcomes we used maximum likelihood based ignorable methods that yield valid inference when the outcome data are missing at random.""</p>",High risk,"<p>Quote in Protocol: ""Six items concerning satisfaction with health care and providers were selected from the Consumer Assessment of Healthcare Providers and Systems (CAHPS) adult survey v4.0, and are collected at each research clinic visit (baseline, 6, 12, and 18 months) ""<br>Comments: Method of measuring outcomes did not differ between groups<br>Comments: The Clinician &amp; Group Visit Survey 4.0 (beta) asks patients about their experiences with care at their most recent visit with an ambulatory care provider.<br>Quote: ""All consenting patients and primary care providers were blinded to the study design and intervention assignment of the clinics, although each patient and their primary care provider were informed of their treatment assignment after randomization. Research clinic coordinators were not blinded to clinics’ treatment assignments, but were trained to treat patients in both study arms identically."" (from protocol)&nbsp;<br>Quote: ""All consenting patients and primary care providers were blinded to the study design and intervention assignment of the clinics, although each patient and their primary care provider were informed of their treatment assignment after randomization. Research clinic coordinators were not blinded to clinics’ treatment assignments, but were trained to treat patients in both study arms identically."" (from protocol)<br>Comments: Because of this scale, the outcome assessors were the participants.</p>",Low risk,<p>Comments: See 4.3. Statistical analyses in protocol.<br>Comments: See 4.3. Statistical analyses in protocol.<br>Comments: See 4.3. Statistical analyses in protocol.</p>,High risk,"<p>The overall risk of bias was judged to be high.<br>Although most domains were assessed as low risk or raised some concerns, a high risk of bias was identified in Domain 4 (bias in measurement of the outcome), which could substantially affect the reliability of the study’s findings.<br>Domain 1b judgement: Low. Domain 1b Support: Recruitment before randomisation.</p>"
Mozu 2023,Clinical measurements: diastolic blood pressure,Arm level,,Some concerns,"<p>Quote: ""A two-block randomization approach was used to assign consenting participants randomly to the intervention or control groups.""<br>Comments: See Table 1.</p>",,,,,,,,,,
Mozu 2023,Clinical measurements: diastolic blood pressure End of study,Arm level,,Some concerns,"<p>Quote: ""A two-block randomization approach was used to assign consenting participants randomly to the intervention or control groups.""<br>Comments: See Table 1.</p>",Some concerns,"<p>Comments: No mention of blinds. Due to the nature of the study, it is likely that the interventionists know which group they are in.<br>Comments: Almost no drop-outs.<br>Comments: The method of analysis is not stated, but I judged it to be a per-protocol analysis from the results.<br>Comments: The number of people excluded from the analysis is less than 5% after randomisation.</p>",Low risk,<p>Comments: The total number of people excluded from the analysis or dropped out is less than 5% after randomisation.</p>,Some concerns,<p>Comments: DBP.<br>Comments: The measurement points are fixed.&nbsp;<br>Comments: No mention of blinding.<br>Comments: DBP.</p>,Some concerns,<p>Comments: Protocols and study registry information cannot be identified. It is unclear whether the analysis method was set up in advance.<br>Comments: DBP.<br>Comments: Univariate analysis only.</p>,Some concerns,"<p>The overall risk of bias was judged to be of some concerns.<br>This assessment is based on identified concerns regarding the randomization process, deviations from intended interventions, and selection of the reported results, while other domains were assessed as being at low risk of bias.</p>"
Mozu 2023,Clinical measurements: systolic blood pressure,Arm level,,Some concerns,"<p>Quote: ""A two-block randomization approach was used to assign consenting participants randomly to the intervention or control groups.""<br>Comments: See Table 1.</p>",,,,,,,,,,
Mozu 2023,Clinical measurements: systolic blood pressure End of study,Arm level,,Some concerns,"<p>Quote: ""A two-block randomization approach was used to assign consenting participants randomly to the intervention or control groups.""<br>Comments: See Table 1.</p>",Some concerns,"<p>Comments: No mention of blinds. Due to the nature of the study, it is likely that the interventionists know which group they are in.<br>Comments: Almost no drop-outs.<br>Comments: The method of analysis is not stated, but I judged it to be a per-protocol analysis from the results.<br>Comments: The number of people excluded from analysis is less than 5% after randomisation.</p>",Low risk,<p>Comments: The total number of people excluded from the analysis or dropped out is less than 5% after randomisation.</p>,Low risk,<p>Comments: SBP.<br>Comments: The measurement points are fixed.&nbsp;<br>Comments: No mention of blinding.<br>Comments: SBP.</p>,Some concerns,<p>Comments: Protocols and study registry information cannot be identified. It is unclear whether the analysis method was set up in advance.<br>Comments: SBP.<br>Comments: Univariate analysis only.</p>,Some concerns,"<p>The overall risk of bias was judged to be of some concerns.<br>This judgement reflects some concerns in Domains 1 (randomization process), 2 (deviations from intended interventions), and 5 (selection of the reported result), despite low risk of bias in the other domains.</p>"
Mozu 2023,Medication adherence,Arm level,,Some concerns,"<p>Quote: ""A two-block randomization approach was used to assign consenting participants randomly to the intervention or control groups.""<br>Comments: See Table 1.</p>",,,,,,,,,,
Mozu 2023,Medication adherence 6 months,Arm level,,Some concerns,"<p>Quote: ""A two-block randomization approach was used to assign consenting participants randomly to the intervention or control groups.""<br>Comments: See Table 1.</p>",,,,,,,,,,
Mozu 2023,Medication adherence End of study,Arm level,,Some concerns,"<p>Quote: ""A two-block randomization approach was used to assign consenting participants randomly to the intervention or control groups.""<br>Comments: See Table 1.</p>",Some concerns,"<p>Comments: No mention of blinds. Due to the nature of the study, it is likely that the interventionists know which group they are in.<br>Comments: Almost no drop-outs.<br>Comments: The method of analysis is not stated, but I judged it to be a per-protocol analysis from the results.<br>Comments: The number of people excluded from the analysis is less than 5% after randomisation.</p>",Low risk,<p>Comments: The total number of people excluded from the analysis or dropped out is less than 5% after randomisation.</p>,High risk,<p>Comments: The measurement points are fixed. MARS is a reliable scale.<br>Comments: The measurement points are fixed.&nbsp;<br>Comments: No mention of blinding.<br>Comments: self-reported scale</p>,High risk,<p>Comments: Protocols and study registry information cannot be identified. It is unclear whether the analysis method was set up in advance.<br>Comments: There are existed the indicators of medication adherence scales or scores in the world. Protocol not identified. Protocols and study registry information cannot be identified.&nbsp;<br>Comments: Univariate analysis only.</p>,High risk,"<p>The overall risk of bias was judged to be high.<br>This judgement was driven primarily by a high risk of bias in Domain 4 (Bias due to deviations from intended interventions) and Domain 5 (Bias in selection of the reported result), alongside some concerns in Domains 1 and 2. These issues raise substantial doubts about the reliability of the study results.</p>"
Powers 1983,Clinical measurements: pain relief,Arm level,,Some concerns,"<p>Quote: ""Patients were assigned by means of a random numbers table to one of two groups.""<br>Comments: No mention of allocation.</p>",,,,,,,,,,
Powers 1983,Clinical measurements: pain relief End of study,Arm level,,Some concerns,"<p>Quote: ""Patients were assigned by means of a random numbers table to one of two groups.""<br>Comments: No mention of allocation.</p>",High risk,"<p>Comments: Pharmacists and patients are able to ascertain the allocation group due to the nature of the study.&nbsp;<br>Comments: The study did not provide information on deviations from the intended intervention. It is unclear whether participants feel ""clearly"" the intervention group is better (while they think the intervention is better, they may also be bothered by the many interventions coming in), but there are also not ""clearly"" more drop-outs in the control group.&nbsp;<br>Comments: per-protocol.<br>Comments: Although not stated in the text, there was a high proportion of drop-outs.</p>",High risk,"<p>Comments: Telephone group: 11 → 8 (37% reduction); Control group: 9 → 8 (11% reduction).<br>Comments: There is no evidence to suggest that.<br>Comments: The missing data was considered ""PY"" due to the large amount of missing data. Telephone group: 11 → 8 (37% reduction); Control group: 9 → 8 (11% reduction).</p>",High risk,"<p>Comments: VAS and FIS are used as pain indicators.<br>Comments: The same measurements are used for all participants.&nbsp;<br>Comments: Since the outcome assessor would be the patient themselves, it would be a self-reported outcome.<br>Comments: Patient reported outcomes.</p>",High risk,"<p>Comments: The protocol cannot be found.<br>Comments: It is not available in the protocol in advance, there is no indication of cut-off values for the date of measurement of satisfaction, and the indicators show VAS and FIS scales, but the results in Table 2 show only the results measured by VAS. There may be arbitrariness.<br>Comments: As it is unclear whether there is a pre-defined protocol, this could be judged as ""NI"". However, it may be ""PN"" because only univariate analysis was performed. However, the VAS and FIS measurements described in the method may be arbitrary, as only the VAS is described in the results.</p>",High risk,"<p>The overall risk of bias was judged to be high.<br>Some concerns exist in the randomisation domain (Domain 1), but significant risks were detected in adherence to interventions, attrition, outcome assessment, and reporting bias (Domains 2 through 5). Due to these multiple high-risk domains, the overall credibility of the evidence is compromised, justifying a high risk of bias judgement.</p>"
Powers 1983,Drug-related problems,Arm level,,Some concerns,"<p>Quote: ""Patients were assigned by means of a random numbers table to one of two groups.""<br>Comments: No mention of allocation.</p>",,,,,,,,,,
Powers 1983,Drug-related problems End of study,Arm level,,Some concerns,"<p>Quote: ""Patients were assigned by means of a random numbers table to one of two groups.""<br>Comments: No mention of allocation.</p>",High risk,"<p>Comments: Pharmacists and patients are able to ascertain the allocation group due to the nature of the study.&nbsp;<br>Comments: The study did not provide information on deviations from the intended intervention. It is unclear whether participants feel ""clearly"" the intervention group is better (while they think the intervention is better, they may also be bothered by the many interventions coming in), but there are also not ""clearly"" more Drop-outs in the Control group.&nbsp;<br>Comments: per-protocol.<br>Comments: Although not stated in the text, there was a high proportion of drop-outs.</p>",High risk,"<p>Comments: Telephone group: 11 → 8 (37% reduction); Control group: 9 → 8 (11% reduction).<br>Comments: There is no evidence to suggest that.<br>Comments: The missing data were considered ""PY"" due to the large amount of missing data. Telephone group: 11 → 8 (37% reduction); Control group: 9 → 8 (11% reduction).</p>",High risk,"<p>Comments: Side effects are used as patients' reported measurements, which is not appropriate as an evaluation indicator.<br>Quote: “The incidence of side effects was ascertained by asking patients if they had experienced any of the side effects listed in the Appendix.”<br>Comments: Side effects are used as patients' reported measurements, which is not appropriate as an evaluation indicator due to self-reporting by the untrained patients themselves.<br>Quote: “The incidence of side effects was ascertained by asking patients if they had experienced any of the side effects listed in the Appendix.”</p>",High risk,"<p>Comments: The protocol cannot be found.<br>Comments: It cannot be confirmed in advance by the protocol.<br>Due to patient self-reported indicators, it may be possible to conclude that only the better ones were intentionally given out.<br>Comments: Outcome assessed according to pre-specified analysis.&nbsp;</p>",High risk,"<p>The overall risk of bias was judged to be high.<br>Although some concerns were raised about the randomisation process (Domain 1), critical risks were present in domains related to deviations from intended interventions, missing data, outcome measurement, and selective reporting (Domains 2–5). These substantial limitations in key areas undermine confidence in the study results, resulting in a high overall risk of bias.</p>"
Powers 1983,Patients’ satisfaction,Arm level,,Some concerns,"<p>Quote: ""Patients were assigned by means of a random numbers table to one of two groups.""<br>Comments: No mention of allocation.</p>",,,,,,,,,,
Powers 1983,Patients’ satisfaction End of study,Arm level,,Some concerns,"<p>Quote: ""Patients were assigned by means of a random numbers table to one of two groups.""<br>Comments: No mention of allocation.</p>",High risk,"<p>Comments: Pharmacists and patients are able to ascertain the allocation group due to the nature of the study.&nbsp;<br>Comments: The study did not provide information on deviations from the intended intervention. It is unclear whether participants feel ""clearly"" the intervention group is better (while they think the intervention is better, they may also be bothered by the many interventions coming in), but there are also not ""clearly"" more drop-outs in the control group.&nbsp;<br>Comments: per-protocol.<br>Comments: Although not stated in the text, there was a high proportion of drop-outs.</p>",High risk,"<p>Comments: Telephone group: 11 → 8 (37% reduction); Control group: 9 → 8 (11% reduction).<br>Comments: There is no evidence to suggest that.<br>Comments: The missing data were considered ""PY"" due to the large amount of missing data. Telephone group: 11 → 8 (37% reduction); Control group: 9 → 8 (11% reduction).</p>",High risk,<p>Comments: Judging patients' satisfaction with VAS and FIS may not be appropriate.&nbsp;<br>Comments: The same measurements are used for all participants.&nbsp;</p>,High risk,"<p>Comments: The protocol cannot be found.<br>Comments: It is not available in the protocol in advance, there is no indication of cut-off values for the date of measurement of satisfaction, and the indicators show VAS and FIS scales, but the results in Table 2 show only the results measured by VAS. There may be arbitrariness.<br>Comments: As it is unclear whether there is a pre-defined protocol, this could be judged as ""NI"". However, it may be ""PN"" because only univariate analysis was performed. However, the VAS and FIS measurements described in the method may be arbitrary, as only the VAS is described in the results.</p>",High risk,"<p>The overall risk of bias was judged to be high.<br>While some concerns were noted regarding the randomisation process (Domain 1), serious risks were identified in deviations from intended interventions, missing outcome data, outcome measurement, and selection of the reported results (Domains 2–5). The high risk in multiple key domains significantly affects the reliability of the findings, leading to an overall high risk of bias.</p>"
