Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of outcome assessment (detection bias),Domain (support): Blinding of outcome assessment (detection bias),Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Recruitment bias,Domain (support): Recruitment bias,Domain (judgement): Baseline imbalance in outcome measurements or characteristics,Domain (support): Baseline imbalance in outcome measurements or characteristics,Domain (judgement): Protection against contamination,Domain (support): Protection against contamination,Domain (judgement): Incorrect analysis,Domain (support): Incorrect analysis,Domain (judgement): Risk of bias overall,Domain (support): Risk of bias overall
Linder 2010,Unclear risk,"<p>Only says ""Matched pairs were randomized"" but no information on how random sequence was generated</p>",Low risk,"<p>No details but, based on the study flow diagram, it appears likely that all clusters were allocated at the same time.</p>",Low risk,<p>Outcome was prescriptions recorded on electronic records and unlikely to be at risk of bias even if physicians were not blinded</p>,Low risk,<p>Appears to be complete; accounted for and not of concern. No missing data reported</p>,Low risk,"<p>The study protocol is not available for comparison; however, all of the outcomes reported on in the methods were reported on in the results.</p>",Low risk,"<p>Practices were recruited and then randomised, so low risk of recruitment bias</p>",Low risk,"<p>There were no significant differences between intervention and control practices in the number of years using the EHR, mean visits per year, the baseline antibiotic prescribing rate, or the baseline antibiotic prescribing rate for ARIs (data not shown). There were no significant differences in clinician or patient characteristics between intervention and control groups.</p>",Low risk,"<p>It is not clear if any of the physicians worked in multiple practices. If not, then risk of contamination was low.</p>",Low risk,"<p>The primary outcome was the antibiotic prescribing rate for ARIs, based on electronic prescribing using the EHR, in an intent-to-intervene analysis, adjusted for clustering by practice.</p>",Low risk,<p>Low risk across most domains</p>
Lobach 1996,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Data taken from electronic patient record</p>,Low risk,<p>No missing data</p>,Low risk,<p>All outcomes reported</p>,Low risk,<p>No evidence of recruitment after randomisation</p>,Unclear risk,<p>Unable to assess</p>,High risk,<p>Audit performed by the same clinician</p>,High risk,<p>Clustering not accounted for in analysis</p>,Unclear risk,<p>Due to randomisation sequence generation and allocation concealment</p>
Lomas 1991,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>Chart audits done by trained staff</p>,Low risk,<p>Data on all hospitals provided</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,"<p>No participants were enroled post-randomisation of clusters, hence, there is low risk of recruitment bias.</p>",Low risk,<p>Table 1</p>,Low risk,<p>Separate hospitals</p>,Low risk,<p>Nested ANOVA with weighted outcome rates</p>,Low risk,<p>Low risk across most domains</p>
Lopez-Picazo 2011,Unclear risk,<p>Method for sequence generation was not reported.</p>,Unclear risk,<p>No information regarding allocation concealment and whether this occurred at the same time or centrally</p>,Low risk,"<p>Physicians were not blinded to their allocation but, as they did not know the study's outcomes, it is unlikely that intervention groups would record clinical records differently to control physicians.</p>",Low risk,<p>The trial stated that 245 physicians were randomised and data were available for all 245 physicians.</p>,Low risk,<p>All prespecified outcomes (mean number of drug interactions and cost-effectiveness) appear to have been reported.</p>,Low risk,<p>No evidence that any physicians were actively recruited after randomisation. All eligible physicians were eligible to participate in trial.</p>,Low risk,<p>No significant differences amongst the study groups</p>,High risk,<p>Likely the control group contaminated</p>,Low risk,<p>Analyses appear to have adequately adjusted for clustering.</p>,High risk,<p>Protection against contamination judged as high risk</p>
Luitjes 2018,Low risk,"<p>Randomisation procedure by drawing sealed, opaque envelopes</p>",Low risk,<p>Concealed opaque envelopes were used to conceal allocation.</p>,Low risk,"<p>Outcomes collected from medical records, and it is unlikely these would be subject to bias when recorded by physicians</p>",Low risk,<p>ITT analysis</p>,Low risk,<p>All outcomes reported</p>,Low risk,<p>No evidence of recruitment bias as there was no recruitment after randomisation</p>,Low risk,<p>Trialist report groups were balanced.</p>,Low risk,"<p>Due to cluster design, contamination is unlikely.</p>",Low risk,<p>Clustering taken into account in analysis</p>,Low risk,<p>Low risk across all domains</p>
Lundborg 1999a,Low risk,<p>The random sequence was generated using the SPSS 6.0 random generator (information extracted from the protocol paper).</p>,Low risk,<p>Clusters were allocated at the same time.</p>,Low risk,"<p>Doctors likely aware of their allocation; however, it is unlikely the prescription data would be subject to risk of bias.</p>",Low risk,<p>All randomised groups completed the study and contributed to the final data analysis.</p>,Low risk,<p>All prespecified outcomes were analysed and results were presented adequately.</p>,Low risk,<p>There is no evidence of any additional recruitment into the trial after randomisation was conducted.</p>,Low risk,<p>No baseline differences were found between the two groups.</p>,Unclear risk,<p>It is unclear whether there was any contamination between groups or not.</p>,Low risk,<p>The multi-level regression analysis takes into account data at the cluster level as well as nested data (individual patient level) which seems appropriate for the type of intervention which is aiming to achieve change at both practice and patient level.</p>,Low risk,"<p>Protection against contamination judged as unclear, but low risk across all other domains</p>"
Lundborg 1999b,Low risk,<p>The random sequence was generated using the SPSS 6.0 random generator (information extracted form the protocol paper).</p>,Low risk,<p>Clusters were allocated at the same time.</p>,Low risk,"<p>Doctors likely aware of their allocation; however, it is unlikely the prescription data would be subject to risk of bias.</p>",Low risk,<p>All randomised groups completed the study and contributed to the final data analysis.</p>,Low risk,<p>All prespecified outcomes were analysed and results were presented adequately.</p>,Low risk,<p>There is no evidence of any additional recruitment into the trial after randomisation was conducted.</p>,Low risk,<p>No baseline differences were found between the two groups.</p>,Unclear risk,<p>It is unclear whether there was any contamination between groups or not.</p>,Low risk,<p>The multi-level regression analysis takes into account data at the cluster level as well as nested data (individual patient level) which seems appropriate for the type of intervention which is aiming to achieve change at both practice and patient level.</p>,Low risk,"<p>Protection against contamination judged as unclear, but low risk across all other domains</p>"
Lynch 2016,Low risk,<p>Generated by computer program</p>,Low risk,<p>Allocation was performed by a blinded third party using a coded list.</p>,Low risk,<p>Blinded outcome assessment</p>,Low risk,<p>No clusters were lost to follow-up or excluded. Patients who had to be excluded from analysis were balanced between groups with reasons explained (that do not appear related to the intervention/outcome).</p>,High risk,<p>Both secondary outcomes listed in the trial registration are not reported in this publication: proportions of patients who accessed stroke rehabilitation following discharge from acute hospital and self-reported rehabilitation assessment and referral practices at each stroke unit. This is not discussed and no reason given.</p>,Low risk,"<p>It is possible health professionals at the hospital were recruited and involved after clusters were randomised, but unlikely to increase bias in this study as both intervention and control hospitals were likely affected equally.</p>",Low risk,"<p>Over 300 patient participants, and baseline patient characteristics and outcome measures similar to judge as low risk</p>",Low risk,<p>Unlikely the control hospitals received the intervention</p>,Low risk,<p>Clustering is taken into account for analyses.</p>,High risk,<p>Due to selective reporting</p>
Machline-Carrion 2019a,Low risk,<p>Web-based computerised randomisation applied by a statistician</p>,Low risk,<p>Allocation was done centrally at one time (see protocol).</p>,Low risk,<p>It is unlikely that there would be bias in the recording of patient medical records. Data collectors were blinded to allocation.</p>,Low risk,<p>Trialists analysed outcomes using ITT.</p>,Low risk,<p>All prespecified outcomes are reported.</p>,Low risk,<p>Randomisation occurred at the start of the study all at once and there were separate hospitals randomised to intervention or routine practice.</p>,Low risk,<p>Characteristics of clusters and patients were observed to be similar at baseline.</p>,Low risk,"<p>Due to the cluster nature of the trial, it is unlikely that the control arm received the intervention.</p>",Low risk,<p>Analyses was performed with clustering taken into account.</p>,Low risk,<p>Overall low risk for all domains</p>
Machline-Carrion 2019b,Low risk,<p>Web-based computerised randomisation applied by a statistician</p>,Low risk,<p>Allocation was done centrally at one time (see protocol).</p>,Low risk,<p>It is unlikely that there would be bias in the recording of patient medical records. Data collectors were blinded to allocation.</p>,Low risk,<p>Trialists analysed outcomes using ITT.</p>,Low risk,<p>All prespecified outcomes are reported.</p>,Low risk,<p>Randomisation occurred at the start of the study all at once and there were separate hospitals randomised to intervention or routine practice.</p>,Low risk,<p>Characteristics of clusters and patients were observed to be similar at baseline.</p>,Low risk,"<p>Due to the cluster nature of the trial, it is unlikely that the control arm received the intervention.</p>",Low risk,<p>Analyses was performed with clustering taken into account.</p>,Low risk,<p>Overall low risk for all domains</p>
Maddocks 2011,Unclear risk,"<p>A researcher ""randomly allocated"", but there is no detail on the method of sequence generation.</p>",Unclear risk,<p>No details or study flow diagram to determine if all clusters were allocated at the same time</p>,Low risk,"<p>It is unclear whether outcome assessors were aware of allocations, but as the outcomes were extracted from medical records and the extraction method appears objective, it is unlikely bias could have been introduced in outcome assessment.</p>",Unclear risk,<p>There is no information on the proportion (if all) of the physician participants remained for the duration of the study. Two control arm practices were removed due to low availability of one outcome (mammography screening) and it is unknown why this was the case.</p>,Low risk,<p>The outcomes specified in the methods are reported in full.</p>,Low risk,<p>It appears that randomisation occurred after the practices and physicians were recruited and agreed to participate in the study.</p>,Unclear risk,<p>Baseline outcome measures are reported but baseline characteristics of the practices and physicians are not described.</p>,Low risk,<p>Allocations are by practice and it is unlikely that the control group participants received the intervention.</p>,High risk,<p>Trial does not appear to take clustering into account for analysis.</p>,High risk,<p>Incorrect analysis</p>
Mainous 2000,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Assessors were not blinded.</p>,Low risk,<p>No missing data</p>,Low risk,<p>All outcomes reported</p>,Low risk,<p>No evidence of cluster recruitment after randomisation</p>,Low risk,<p>Baseline characteristics and outcomes balanced between arms</p>,High risk,<p>Randomisation by physician; some may have been in the same practice</p>,High risk,<p>Clustering not accounted for in analysis</p>,Unclear risk,<p>Due to randomisation sequence generation and allocation concealment</p>
Manfredi 1998,Unclear risk,"<p>Study authors matched and randomly assigned medical practices to the intervention groups, but it is not clear how the random sequence was generated.</p>",Unclear risk,<p>No details or study flow diagram to determine if all clusters were allocated at the same time</p>,Low risk,"<p>Although it is unclear if the outcome assessors were blinded to the practice treatment allocation, the outcome data were extracted through reviews of randomly selected patients' medical charts.</p>",Low risk,"<p>51 practices agreed to participate in the study; between pre-intervention and post-intervention, 4 practices were lost to follow-up (details in the text). This is a 7.8% loss to follow-up. It is unlikely that this loss to follow-up would bias the outcome.</p>",Unclear risk,"<p>No prior trial reg/protocol, so unclear if all predefined outcomes are measured and in the same way</p>",Unclear risk,<p>Not enough information as the flow of cluster recruitment and randomisation is not clear</p>,Low risk,"<p>Baseline and post-intervention patient samples for the intervention and control group were similar in terms of patient sex, age, type of insurance and continuity of care at the same practice.</p>",Unclear risk,"<p>Randomisation by cluster, but not enough information on staff in practices, so unclear if study ensured staff were not working across multiple sites</p>",Unclear risk,<p>It does not appear that the cluster component was accounted for in the analyses.</p>,Unclear risk,<p>Recruitment bias; protection against contamination and incorrect analysis judged as unclear</p>
Martin 1980,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>No attrition on process-of-care outcomes</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,"<p>No participants were enroled post-randomisation of clusters; hence, there is low risk of recruitment bias.</p>",Low risk,<p>Table 1</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,"<p>Multiple regression and 2-way ANOVA were used, but not clear if clustering was taken into account</p>",Unclear risk,<p>Unable to assess biases across important domains</p>
Marton 1985,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>No description of whether subjects lost to follow-up</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,"<p>No participants were enroled post-randomisation of clusters; hence, there is low risk of recruitment bias.</p>",Low risk,<p>See Table 1</p>,Unclear risk,<p>Unable to assess</p>,High risk,<p>2-way ANOVA and Kruskal Wallis/t-test. Seems like clustering was not taken into account</p>,High risk,<p>Due to incorrect analysis</p>
McCartney 1997,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed. Sealed envelopes used</p>,Low risk,<p>Data collected by computer searches</p>,Low risk,<p>Data from all 28 practices</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,<p>No recruitment after randomisation</p>,Low risk,<p>Figure 1</p>,Low risk,<p>Separate practices</p>,High risk,<p>Clustering not taken into account</p>,High risk,<p>Due to incorrect analysis</p>
McClellan 2003,Low risk,<p>Random number table</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>Data collected from database</p>,Low risk,<p>Similar dropouts in both groups</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,<p>No recruitment after randomisation</p>,Low risk,<p>Table 1</p>,Low risk,<p>Separate practices</p>,High risk,<p>Clustering was not taken into account in the analysis.</p>,High risk,<p>Due to incorrect analysis</p>
McClellan 2004,Low risk,<p>Random number allocation</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>Lab values blinded</p>,Low risk,<p>Data from all centres in study</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,<p>No recruitment after randomisation</p>,Low risk,<p>See Table 1</p>,Low risk,<p>Separate centres</p>,Low risk,<p>Analysed at cluster level; unit of analysis same as unit of allocation</p>,Low risk,<p>Low risk across all domains</p>
McCluskey 2016,Low risk,"<p>An 'independent randomisation service' was used to allocate clusters to experimental or control groups. Minimisation was used, a form of covariate adaptive randomisation to ensure a balance of variables; location (centre or home-based teams), funding (public or private), volume of caseload and level of outings at baseline</p>",Low risk,"<p>Authors stated 'concealed allocation.' As minimisation was used to randomise teams, the sites would have been recruited before the random sequence was generated, reducing selection bias.</p>",Low risk,"<p>Patient files were audited by an individual blinded to team allocation. Therapists documenting in files may have been unblinded, but this is unlikely to affect reporting of outcome (whether a community outing occurred or not).</p>",Low risk,"<p>No loss to follow-up in outcome data of primary outcome due to method (audit of patient files). Loss to follow-up of observed stroke survivors of 13% in both intervention and control groups; this population related to secondary outcomes only. Staff turnover high (""up to 50%"") during study but did not impact data due to patient measures used as outcomes<br><br>1 cluster lost to follow-up due to service cessation</p>",Low risk,<p>Reports primary and secondary outcome data as outlined in published protocol</p>,Low risk,<p>No evidence of recruitment after randomisation</p>,Low risk,"<p>Adequate similarity; stroke survivors similar in terms of age, sex and stroke severity between groups. Characteristics of teams similar at baseline in terms of funding; minor differences between groups in location; and control group had more outpatient settings than intervention group. Similar baseline characteristics: low risk, adequate similarity; stroke survivors similar in terms of age, sex and stroke severity between groups. Characteristics of teams similar at baseline in terms of funding; minor differences between groups in location; control group had more outpatient settings than intervention group. Control group providing fewer outings at baseline but direction of potential bias unlikely to impact results</p>",Low risk,<p>Allocation was by community rehabilitation teams. Unlikely that the control group received the intervention.</p>,Low risk,<p>Analysis was performed taking cluster effect into account.</p>,Low risk,<p>Low risk across all domains</p>
McConnell 1982,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>Medicaid data used</p>,Low risk,<p>33/35 physicians followed up</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,<p>No recruitment after randomisation</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,High risk,<p>Clustering was not taken into account in the analysis.</p>,High risk,<p>Due to incorrect analysis</p>
Meeker 2016,Low risk,<p>Randomization conducted in R</p>,Low risk,<p>Clusters randomised before start of trial</p>,Low risk,<p>Objective data source (EHR or billing records)</p>,Low risk,<p>No loss to follow-up at cluster level</p>,Low risk,<p>Prospectively registered protocol</p>,Low risk,<p>No evidence that recruitment occurred after randomisation</p>,Low risk,<p>Baseline characteristics appear mostly similar.</p>,Low risk,<p>Factorial design reduces contamination across clusters.</p>,Unclear risk,<p>Adjustments for potential clustering effect not mentioned</p>,Low risk,<p>Low risk across most domains</p>
Mertens 2015,Unclear risk,<p>It is unclear how the random sequence was generated.</p>,Low risk,"<p>Though not explicitly described, it would appear all clusters were allocated at one time.</p>",Unclear risk,<p>Some outcomes (not primary) were based on self-report and participants were aware of their allocation.</p>,Low risk,<p>3/201 in PCP group lost to follow-up (none in other two arms). Unlikely to bias outcomes</p>,Unclear risk,"<p>Outcomes listed in clinical trials record were all reported; however, the proportion of brief interventions and proportion of referrals to treatment were combined - uncertain how this may have impacted results</p>",Low risk,<p>Recruitment was done at one stage and no clinics or PCPs were recruited after the commencement of the study.</p>,Unclear risk,<p>Baseline characteristics for each group not reported</p>,Unclear risk,"<p>Post hoc analysis for medical centre 9 found that a few physicians in the NPP and MA arm delivered BI/RT themselves to their few patients screening positive; these physicians were responsible for the vast majority of BI/ RTs delivered in this clinic.<br>Some movement of MAs from the NPP and MA arm to other arms occurred in these medical centres; in some sites, MAs covered duties for absent MAs in other clinics.</p>",Low risk,<p>Analysis accounted appropriately for clustering</p>,Unclear risk,<p>Due to baseline imbalances and risk of contamination</p>
Metlay 2007,Low risk,<p>Coin flip randomisation used</p>,Unclear risk,<p>No details or study flow diagram to determine if clusters were likely allocated at the same time</p>,Low risk,<p>Outcomes (collected from medical records) unlikely to be influenced by knowledge of allocation. Self-reporting by patients also unlikely to be affected because it is unlikely they were aware of their allocation</p>,Low risk,<p>1/8 control sites lost to follow-up (unable to identify appropriate staff to participate in the study). This is unlikely to be a significant imbalance between groups.</p>,Unclear risk,<p>No trial registration or protocol found</p>,Low risk,<p>All practices recruited before randomisation</p>,High risk,"<p>Table 2 - differences observed between control and intervention groups in year 1 for type of hospital, age, sex, previous ARI, radiography ordered, and provider type</p>",Low risk,<p>Allocated by cluster (hospitals) and it is unlikely that the control hospitals  received the intervention</p>,Low risk,<p>Clustering taken into account in primary analysis</p>,High risk,<p>Baseline imbalance at high risk</p>
Mitchell 2005,Low risk,<p>Computer-generated</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>Administrative data</p>,Low risk,<p>52/54 GPs provided data.</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,"<p>No participants were enroled post-randomisation of clusters; hence, there is low risk of recruitment bias.</p>",Low risk,<p>See Table 1</p>,Low risk,<p>Separate GPs</p>,Low risk,<p>Clustering accounted for in analysis</p>,Low risk,<p>Low risk across all domains</p>
Moher 2001,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Data on all 21 practices</p>,Low risk,<p>Appropriate outcomes measured</p>,Unclear risk,"<p>Limited information on recruitment process (79 practices invited but ""eventually recruited 21 practices"")</p>",Low risk,<p>See Table 1</p>,Low risk,<p>Separate practices</p>,Unclear risk,<p>No information on statistical methodology; unclear whether clustering was considered in analysis</p>,Unclear risk,<p>Unclear risk across important domains</p>
Mold 2008,Low risk,<p>Coin tosses</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>&nbsp;Interviewers blinded</p>,Low risk,<p>All clinicians followed up</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,<p>No evidence of recruiting clusters after randomisation</p>,High risk,<p>Table 1</p>,Low risk,<p>Separate practices</p>,Low risk,<p>Logistic regression</p>,High risk,<p>Due to baseline imbalance</p>
Mold 2014,Unclear risk,"<p>Random assignment, but method of sequence generation not reported</p>",Unclear risk,<p>No information regarding allocation concealment and whether this occurred at the same time or centrally</p>,Unclear risk,"<p>Outcome assessors at two levels - practitioners recording asthma management (unlikely to be affected by knowledge of allocation - low risk) and data extraction for outcomes (unclear if assessors were blinded and though standardised forms were used, the data collection process was not entirely objective and could be at risk of bias)</p>",Unclear risk,<p>No information about flow of participation. 2 practices did not provide outcome data and unclear which groups they were from as # randomised to each group at the beginning not reported</p>,Unclear risk,"<p>Protocol not available; however, all outcomes reported</p>",Unclear risk,"<p>No information about recruitment (and subsequent randomisation) methods, so timing of recruitment is unclear</p>",Unclear risk,"<p>There appeared to be baseline imbalances in some of the outcomes between groups (table 3) though this is not described by the trial, so it is unclear if this was significant.</p>",Unclear risk,<p>Not enough information to assess</p>,High risk,<p>Trial did not adjust for clustering.</p>,High risk,"<p>Incorrect analysis judged as high risk; recruitment bias, baseline imbalance, selective reporting and protection against contamination judged as unclear</p>"
Morrison 2015,Low risk,<p>A computerised randomisation scheme was used.</p>,Low risk,<p>Allocation centralised; appears to have been finished before study started and after 4 hospitals couldn't partake.</p>,Low risk,<p>Medical records unlikely to be subjectively recorded. Data abstractors were blind to allocations.</p>,Low risk,<p>Modified ITT used due to 5 hospitals dropping out (unclear on allocation) due to reasons that were not related to the intervention</p>,High risk,<p>No odds ratio for active vs baseline data reported<br><br>protocol: https://implementationscience.biomedcentral.com/articles/10.1186/1748-5908-6-4&nbsp;<br>&nbsp;</p>,Low risk,<p>Recruitment occurred before trial started.</p>,Low risk,<p>Baseline balanced</p>,Low risk,<p>This does not appear to have been contamination with different hospitals being separated into clusters.</p>,Low risk,"<p>All cluster trials should allow for correlations between individuals in the same cluster. A consequence is that a parallel cluster trial will require a larger sample size than a corresponding individually randomised trial. The standard approach here assumes that any two observations from the same cluster will have a constant correlation between them, a quantity known as the intra-cluster correlation. Then the increase in sample size for the simple parallel cluster trial is determined by a simple multiplicative factor (the design effect), which depends both on the magnitude of the intra-cluster correlation and on the number of subjects in each cluster.</p>",High risk,<p>Due to selective reporting</p>
Myers 2004,Low risk,<p>Random number generation used</p>,Low risk,"<p>Randomisation was done at the practice level, and appears to have been conducted at one time and prior to the study commencing.<br>https://www.ncbi.nlm.nih.gov/pubmed/11570828</p>",Low risk,"<p>Outcome assessors at two levels - physicians (filling in internal chart audit form) and researchers extracting data from ICA for the outcome of interest (CDE recommendation). Despite participants knowing their allocation, it is unlikely there would be a difference in how they fill in the ICA). Researchers assessing the ICA data developed a set of decision rules, previously validated this method in a pilot study, and the data were dichotomous (likely low risk)..</p>",Unclear risk,<p>No information about whether practices and PCPs remained for the duration of the study or if some left</p>,High risk,"<p>Myers 2001 (study design, implementation and baseline data publication) says their secondary outcomes are the intention to recommend and perform CDE, which they report baseline data for. This is missing in the 2004 publication.</p>",Low risk,<p>Randomisation performed after practices were recruited. No evidence of recruitment after randomisation</p>,Low risk,"<p>Similar baselines as per table 2 and 3, showing no significant differences</p>",Unclear risk,<p>Allocation at the cluster level but not enough information to determine if trial ensured practitioners did not work in other practices etc.</p>,Low risk,<p>Generalised estimating equation (GEE) methods were used to adjust for the clustering of patients within practices.</p>,High risk,<p>Due to selective reporting</p>
Nace 2020,Unclear risk,<p>Randomisation method not described</p>,Low risk,"<p>No details but based on the study flow diagram, all clusters were likely allocated at the same time.</p>",Unclear risk,"<p>Collection of outcome data are not clearly described, so it is difficult to determine whether the process could be subject to bias.</p>",High risk,<p>Three out of 13 (23%) control sites were lost to follow-up (2 were withdrawals but no further elaboration) compared to 0 in the intervention arm. Incomplete outcome data are imbalanced and potentially related to the intervention and outcome.</p>,Unclear risk,<p>The trial was not registered and no study protocol was found.</p>,Low risk,<p>No evidence of recruiting clusters after randomisation</p>,Low risk,"<p>No statistically significant differences between groups at baseline, and stratified in randomisation to minimise differences</p>",Low risk,<p>Randomised by practice and unlikely contamination</p>,Low risk,<p>Appropriate method of analysis which accounted for clustering effects was used.</p>,High risk,<p>High risk due to incomplete outcome data</p>
Naughton 2007,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>&nbsp;Administrative data used</p>,Low risk,<p>1 dropout of 98 GPs</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,<p>No evidence of recruiting clusters after randomisation</p>,Low risk,<p>Table 1</p>,Low risk,<p>Separate GPs</p>,Low risk,"<p>""The prescribing differences between the randomised groups were examined using multivariate regression with a random effects model for each therapy, e.g. statin therapy in patients with CVD. This allowed for adjustment of GP clustering within practices, baseline prescribing and confounding factors such as practice participation in the Heartwatch programme and patient population structure.""</p>",Low risk,<p>Low risk across most domains</p>
Naughton 2009,Unclear risk,<p>Randomisation process not described</p>,Unclear risk,<p>Allocation concealment not described</p>,Low risk,<p>Data collected from database of pharmacy claims</p>,Unclear risk,<p>Losses not reported</p>,Unclear risk,"<p>Protocol not available; however, all outcomes reported</p>",Low risk,<p>No evidence that recruitment occurred after randomisation</p>,Low risk,<p>No significant differences in characteristics or overall prescribing patterns</p>,Low risk,<p>Cluster design; unlikely to be contamination</p>,Unclear risk,<p>No evidence of adjustment for clustering effect</p>,Unclear risk,<p>Unclear risk across most domains</p>
Navarro 2012,Low risk,<p>A blocked randomisation sequence was generated using Stata Statistical Software (information sourced from http://anzctr.org.au); hence there is a low risk of selection bias.</p>,Low risk,"<p>""Allocation to intervention/control is performed later by the holder of the allocation schedule who is at the central administration site i.e. allocation is concealed"" (information from http://anzctr.org.au); hence there is a low risk of selection bias.</p>",Low risk,"<p>Unclear if assessor/s were blinded, but pharmacy cost data and hospitalisation rates were collected, so unlikely to matter if not</p>",Unclear risk,"<p>It is unclear if GPs were recruited to participate or they were all included; therefore, excluded/missing GP data are unclear.</p>",Low risk,"<p>The trial was registered and no deviations from protocol were found; hence, there is a low risk of reporting bias.</p>",Unclear risk,"<p>As there was no study flow diagram or written text reporting on whether recruitment continued post-randomisation or not, there is an unclear risk of recruitment bias.</p>",Low risk,<p>There is a low risk of bias due to baseline imbalance as baseline characteristics between groups were comparable.</p>,Low risk,"<p>There is a low risk of contamination bias, as adequate steps were taken to minimise contamination between groups.</p>",Low risk,<p>Communities were units of analysis.</p>,Low risk,<p>Low risk across most domains</p>
Navathe 2020,Unclear risk,<p>Not enough information to determine method of randomisation</p>,Low risk,"<p>Per supplementary document, it appears clusters were allocated at the same time.</p>",Low risk,<p>Outcome data extracted from medical records and unlikely to be biased</p>,Unclear risk,<p>No clear description of flow of participants throughout study. Participation in the third arm was low.</p>,High risk,<p>Primary outcome was changed on clinical trials registry after data analysis (though authors specify in the appendix this decision was made before data analysis). Two arms were also combined due to low engagement.</p>,Low risk,"<p>As per study timeline in appendix, no recruitment after randomisation and allocation</p>",Low risk,<p>Analyses adjusted for baseline imbalances.</p>,High risk,<p>Authors acknowledge likelihood of contamination (and bias towards the null) due to providers within the same organisation being randomised to different arms.</p>,Low risk,<p>Clustering taken into account in analyses</p>,High risk,<p>Protection against contamination - high risk</p>
Nejad 2016,High risk,"<p>Sequence generation not reported. Control arm was not randomly allocated and appears to be GPs that the intervention could not be sent to; however, this is poorly described</p>",Low risk,"<p>Based on participant flow diagram, it seems likely all participants were allocated centrally at one time.</p>",Low risk,<p>Outcome data were extracted from medical records and unlikely to be recorded with bias.</p>,Low risk,<p>An ITT analysis was also performed for excluded cases.</p>,Unclear risk,<p>Outcomes seem to be reported but no trial registration or protocol to check</p>,Low risk,<p>Fig 1: All recruitment done before randomisation</p>,Low risk,<p>Characteristics similar at baseline</p>,Unclear risk,<p>GP appears to be the cluster - no information provided about whether multiple GPs from the same clinics were randomised differently</p>,Low risk,<p>Analysis adjusted for clusters</p>,High risk,<p>Due to random sequence generation</p>
Nilsson 2001a,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>&nbsp;Prescription data used</p>,Low risk,<p>40 GPs provided data.</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,<p>Randomisation occurred after recruitment was complete.</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Separate GPs</p>,Unclear risk,"<p>No adjustment for clustering mentioned (t-tests used to compare changes in mean differences, but units of analysis and randomization are both with individual GPs)</p>",Low risk,<p>Low risk across all important domains</p>
