Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): All outcomes,Domain (support): Blinding of outcome assessment (detection bias): All outcomes,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias)
Shetty 2002,Low risk,"<p>Randomisation was done by opening sequential, opaque, and numbered envelopes, which contained cards stating the mode of administration. These cards had been prepared with use of a computer-generated table.</p>",Low risk,"<p>Randomisation was done by opening sequential, opaque, and numbered envelopes, which contained cards stating the mode of administration. These cards had been prepared with use of a computer-generated table.</p>",Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was unavailable for verification. However, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Sifakis 2007,Low risk,<p>A sequence from a computerized random number generator was used for the allocation of patients to each group.</p>,Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Soliman 2013,Low risk,"<p>Women were assigned to one of the three treatment groups: IMN, misoprostol, or combination therapy using a computer- generated randomization table and their allocation kept in consecutively numbered, sealed, opaque envelopes.</p>",Low risk,"<p>Women were assigned to one of the three treatment groups: IMN, misoprostol, or combination therapy using a computer- generated randomization table and their allocation kept in consecutively numbered, sealed, opaque envelopes.</p>",Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was unavailable for verification. Nonetheless, the trial author stated that the trial was registered prospectively in the ethics committee of Tanta University and the clinical trial protocol was developed prior to the trial being undertaken. However, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Somirathne 2017,Low risk,"<p>Using computer generated random numbers and stratified (primigravidae and multigravidae) blocks randomization, 184 sealed opaque envelopes containing the parallel allocation sequences for the two strata (92 primigravidae and 92 multigravidae) in blocks of four in a 1:1 ratio, were prepared by the second author, and kept securely in the antenatal ward.</p>",Low risk,"<p>Using computer generated random numbers and stratified (primigravidae and multigravidae) blocks randomization, 184 sealed opaque envelopes containing the parallel allocation sequences for the two strata (92 primigravidae and 92 multigravidae) in blocks of four in a 1:1 ratio, were prepared by the second author, and kept securely in the antenatal ward.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessor was blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was registered (SLCTR/2014/030). However, the study failed to report our primary outcomes.</p>"
Souza 2013,Low risk,"<p>The randomization procedure was performed using Random Allocation version 1.0 (Isfahan University of Medical Sciences; Isfahan, Iran). Numbers from 1 to 200 were randomly allocated to 2 groups designated A and B, and the resulting lists were sent to the pharmaceutical compa- ny in charge of the drug preparation.</p>",Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was registered (NCT00992524). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Sulaiman 2023,Low risk,<p>The randomization sequence was generated using a random number generator at random.org in a single block of 80 by an investigator (coauthor PCT) who was not involved in enrollment.</p>,Low risk,<p>The random allocation sequence was placed in a sealed numbered opaque envelope for strict number order assignment to participants. Randomization was by opening the lowest numbered sealed en- velope remaining.</p>,Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>1 woman was excluded from the analysis because she declined to induce labour with the allocated intervention and no data were collected.</p>,High risk,"<p>The protocol of the study was registered (ISRCTN16957529). However, the study failed to report our primary outcomes.</p>"
Surbek 1997,Low risk,<p>With use of a random number-generated table the consecutively enrolled study patients were allocated by the hospital pharmacy to receive either 50 mcg of misoprostol or 3 mg of PGE2 intravaginallyin the posterior vaginal fornix.</p>,Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was unavailable for verification. However, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Tabasi 2007,Low risk,<p>Then randomization occurred according to random sequence that generated by computer and the investigator was unaware of the sequence.</p>,Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Tan 2010,Low risk,<p>Randomisation was based on a computer-generated list that used permuted blocks of six blinded to the investigators. Randomisation was also stratified according to parity (nulliparous versus parous).</p>,Low risk,"<p>The randomly allocated drugs were packed in serially numbered, sealed and opaque envelopes that were stored in the delivery suite.</p>",Low risk,"<p>Study participants were blinded to treatment allocations. However, caregivers were not blinded.</p>",Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,"<p>2 women (&lt; 10%) were excluded from the study due to medical reasons. One woman required a caesarean section to deliver her baby, while the fetus of the other woman was found to be in an oblique line on day 2. Both women were included in the primary outcome data, which measured cervical response in terms of modified Bishop score greater than 6. However, they were excluded from the secondary outcomes.</p>",High risk,"<p>The protocol of the study was registered (NCT00299754). However, the study failed to report our primary outcomes.</p>"
Ten Eikelder 2016,Low risk,"<p>Women were randomly allocated (1:1) to induction with oral misoprostol or induction with a Foley catheter, by use of a web-based program, with block sizes of two and four, and stratified by centre and parity.</p>",Low risk,"<p>Women were randomly allocated (1:1) to induction with oral misoprostol or induction with a Foley catheter, by use of a web-based program, with block sizes of two and four, and stratified by centre and parity.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,"<p>14 women (&lt; 10%) were excluded from the intention-to-treat analyses. Two did not meet eligibility criteria, two had missing data, and 10 withdrew their consent.</p>",High risk,"<p>The protocol of the study was registered (NTR3466). However, the study failed to report our primary outcomes.</p>"
Triglia 2010,Low risk,<p>Midwives allocated the case to either group using a computer-generated randomization list drawn up by the statistician.</p>,Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>One woman was excluded from the analysis due to a protocol violation (incorrect labour induction method received).</p>,High risk,"<p>The protocol of the study was registered (NCT00843362). However, the study failed to report our primary outcomes.</p>"
Unthanan 2022,Low risk,<p>Enrolled patients were then allocated to study or control groups according to computer generated simple random assignment in concealed envelopes by SPSS software version 22 for Mac.</p>,Low risk,<p>Enrolled patients were then allocated to study or control groups according to computer generated simple random assignment in concealed envelopes by SPSS software version 22 for Mac.</p>,Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was registered (TCTR20200722003). However, the study failed to report our primary outcomes.</p>"
Vidanagamage 2011,Unclear risk,<p>Random sequence generation was not reported.</p>,Low risk,"<p>Sequentially numbered sealed opaque envelopes were prepared with either a sustained release ISMN 60 mg tablet or two ISMN 20 mg tablets (both from Micro Laboratories, Bangalore India) or a vitamin C 100 mg tablet (placebo) by the second author and kept in a secure place in the obstetrics ward.</p>",Low risk,<p>Study participants were blinded to treatment allocations.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>2 women (&lt; 10%) were excluded from the analysis due to pre-labour rupture of membranes within two hours of drug administration.</p>,High risk,"<p>The protocol of the study was registered (SLCTR/2010/009). However, the study failed to report our primary outcomes.</p>"
Wallstrom 2019,Low risk,"<p>Sealed Envelope Ltd. 2016 generated the randomisation sequence, available from https://www.sealedenvelope.com/ simple-randomiser/v1/lists (number seed 100953215495341). The allocation of treatment was generated using a computer random schedule with a block size of six at the start of the study.</p>",Low risk,"<p>Assignment was concealed by placement in consecutively numbered, opaque, sealed envelopes drawn in consecutive order by an administrator, who was unaware of which agent was allocated until the envelope was opened.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>3 women (&lt; 10%) were excluded from the analysis. One woman discontinued the allocated intervention and 2 women did not meet the criteria.</p>,Low risk,"<p>The protocol of the study was registered (NCT02918110). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Witter 1996,Low risk,<p>Computer-generated randomization sequences for each site were prepared centrally by the sponsor and used to produce sequentially labeled prepackaged inserts containing either placebo or active agent.</p>,Low risk,<p>Computer-generated randomization sequences for each site were prepared centrally by the sponsor and used to produce sequentially labeled prepackaged inserts containing either placebo or active agent.</p>,Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>13 women (&lt; 10%) were excluded from the analysis because 8 women discontinued induction with the allocated intervention and 5 women violated the study protocol.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Young 2020,Low risk,"<p>Envelopes contained a card indicating study allocation prepared by an administrative staff member not involved in patient care, using computer generated random number tables with randomization in blocks of six and nine.</p>",Low risk,"<p>Eligible subjects, who had given written informed consent, were assigned to an induction method by opening the next sequentially numbered opaque envelope for that stratum, only when induction was to begin.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was registered (NCT03489928). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Zhang 2015,Low risk,"<p>Randomized via a computerized randomization sequence, misoprostol: Placebo ratio was set to 7:2 in each block.</p>",Low risk,"<p>A total of 25 blocks were distributed among the hospitals. In case of emergent unblinding, an envelope with a blinding code and the participant’s group was distributed with the tablets to the investigators.</p>",Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>3 women (&lt; 10%) were excluded from the analysis due to loss to follow-up and withdrew their consent.</p>,Low risk,"<p>The protocol of the study was registered (NCT01428037). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
