Study,Year,Data source,ID: CRS,Char: Patient sampling,Char: Patient characteristics and setting,Char: Index test,Char: Target condition and reference standard(s),Char: Flow and timing,Char: Comparative,Char: Notes,Cov: Year,Cov: Continent,Cov: Type of study report,Cov: Study design,Cov: Randomized/non-randomized,Cov: Total number of patients,Cov: Patients analyzed,Cov: Exclusion criteria,Cov: Age,Cov: % male,Cov: Race,Cov: % cirrhosis,Cov: % HCV,Cov: % HBV,Cov: % alcoholic aetiology,Cov: % NAFLD,Cov: MELD,Cov: % Child Pugh A,Cov: % Child Pugh B,Cov: % Child Pugh C,Cov: % Child Pugh B+C,Cov: % CSPH,Cov: % SPH,Cov: Operator,Cov: Index test 1,Cov: Index test 2,Cov: Combination,Cov: Blinding the operators (HVPG),Cov: Blinding the operators (LSM/SSM),Cov: Time interval LSM/SSM-HVPG,Cov: Type of probe used,Cov: % oesophageal varices,Cov: Viral (HBV+HCV),Cov: Viral aetiology more than 80%,Cov: CSPH more than 50%,Cov: SPH more than 25%,Cov: Child Pugh A more than 75%,Cov: SSM VCTE only - LSM 50Hz vs SSM 100Hz,Cov: SSM VCTE only (LSM 50Hz) - M probe vs XL probe,Cov: Unsuccessful or indeterminate results more than 20%,Cov: Index test 3,Cov: Index test 4
Salzl 2014,2014,PUB,26589982,"<p>""ARFI measurements were performed consecutively in patients scheduled for HVPG measurement. The inclusion criteria were: patients with liver cirrhosis with HVPG, TE and ARFI measurements. The exclusion criteria were the presence of pre- and post-hepatic causes of PH, previous liver transplantation, treatment with beta blocker therapy. During the study period 145 HVPG measurements were performed. For this study only baseline HVPG measurements without beta blocker therapy (n = 119) in patients with liver cirrhosis were considered. 13 patients with out liver cirrhosis were excluded. 4 patients were excluded due to portal vein thrombosis and 2 patients because of a previous liver transplantation. Furthermore, 12 patients without liver histology and without evident signs of liver cirrhosis were excluded. Therefore, 88 patients with liver cirrhosis were included in the study. Measurement of HVPG was not possible in 6 patients (9 %) due to failure to place the catheter (n = 3), patient non-compliance (n = 2), or collateral vessel formation (n = 1). Liver stiffness could not be measured by TE in 22 (25 %) patients and by means of ARFI in one (1 %) patient. &nbsp;In 59 patients (67.1 % of all patients) a complete dataset was available. All further calculations are based on patients with a complete dataset.""</p>","<p>""Data were prospectively collected from patients scheduled for HVPG measurement in the Hepatic Hemodynamic Laboratory at the Medical University Hospital of Vienna between February 2009 and April 2010 after informed consent had been obtained. ARFI measurements were performed consecutively in patients scheduled for HVPG measurement.""</p><p>""From February 2009 to April 2010, 88 consecutive patients with liver cirrhosis underwent measurements of LS via ARFI and TE (using the standard M-probe) prior to HVPG measurement. The etiology of liver cirrhosis was alcoholic liver disease (ALD) in 43 patients (49 %), viral hepatitis in 28 patients (32 %), a combination of ALD and viral hepatitis in 6 patients (7 %), non-alcoholic steatohepatitis in 3 patients (3 %), and other rare causes in 8 patients (9 %). At the time of HVPG measurement, 28 patients (31.8 %) presented with ascites. EV were endoscopically detected in 61 patients (69 %). Splenomegaly was present in 45 out of 66 patients (68.2 %) in whom information on spleen size was available. 15 patients were Child-Pugh class A (17 %) 58 patients Child-Pugh class B (66 %), and 15 patients Child-Pugh class C (17 %). &nbsp;In 59 patients (67.1 % of all patients) a complete dataset was available. All further calculations are based on patients with a complete dataset. In total 17 patients (28.8 %) had HVPG values below 10 mmHg, and 42 patients (71.2 %) were diagnosed with CSPH (HVPG ≥ 10 mmHg).""</p>",<p>LSM by VCTE. The cut-off value was not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>","<p>No information on interval between index test and reference standard.&nbsp;</p><p>""88 patients with liver cirrhosis were included in the study. Measurement of HVPG was not possible in 6 patients (9 %) due to failure to place the catheter (n = 3), patient non-compliance (n = 2), or collateral vessel formation (n = 1). Liver stiffness could not be measured by TE in 22 (25 %) patients and by means of ARFI in one (1 %) patient. In 59 patients (67.1 % of all patients) a complete dataset was available. All further calculations are based on patients with a complete dataset.""</p>",,<p>No report of conflict of interests and funding.</p>,2014.0,Europe,Full-text,Prospective,Non-randomized,88.0,59.0,No exclusion criteria met,,,No data,100.0,,,49.0,3.0,,,,,,71.2,,No data,LSM by VCTE,LSM by pSWE,None,No data,No data,No data,LSM@50Hz probe M,69.0,32.0,No,Yes,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,Yes,None,None
Schonemier 2013,2013,PUB,26589984,"<p>""Liver stiffness was prospectively measured by ARFI in 45 consecutive patients (female/male 14/31; mean age: 50.4 +/- 13 years) with different chronic liver diseases (10 x viral, 10 x toxic, 8 x autoimmune, 3 x cholestatic, 14 x others) who underwent transjugular liver biopsy with measurement of HVPG. Additionally, hematological parameters and liver biochemistry were obtained. Significant PHT was defined as a HVPG &gt;10 mmHg. Results: Hepatic venous pressure gradient was found to be &gt;10 mmHg in 26 patients (58%). Cirrhosis was diagnosed in 19 patients (42%), and severe fibrosis in 9 patients (20%).""</p>","<p>""Liver stiffness was prospectively measured by ARFI in 45 consecutive patients (female/male 14/31; mean age: 50.4 +/- 13 years) with different chronic liver diseases (10 x viral, 10 x toxic, 8 x autoimmune, 3 x cholestatic, 14 x others) who underwent transjugular liver biopsy with measurement of HVPG. Additionally, hematological parameters and liver biochemistry were obtained. Significant PHT was defined as a HVPG &gt;10 mmHg. Results: Hepatic venous pressure gradient was found to be &gt;10 mmHg in 26 patients (58%). Cirrhosis was diagnosed in 19 patients (42%), and severe fibrosis in 9 patients (20%).""</p>",<p>LSM by pSWE. The cut-off value was not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>",<p>No information on interval between index test and reference standard.</p>,,<p>No report of conflict of interests and funding.</p>,2013.0,Europe,Abstract,Prospective,Non-randomized,45.0,45.0,Cholestatic liver disease,50.4,68.9,No data,42.0,,,,,,,,,,58.0,,No data,LSM by pSWE,None,None,No data,No data,No data,Not VCTE,,22.2,No,Yes,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No data,None,None
Schwabl 2015,2015,PUB,26589986,"<p>""Patients with CLD referred to the Vienna Hepatic Hemodynamic Laboratory were included in this retrospective study if: (i) age &gt;18 years; (ii) simultaneous measurement of LS by TE and HVPG were performed and (iii) data on LB within a time frame of 3 months was available. A total of 278 patients with CLD with available data on LB, TE and HVPG were identified. Twenty patients were excluded because of unreliable LB specimen and 32 patients were excluded because LB reports were not complete. Thus, the final data set included 226 patients. According to traditional TE criteria, 162 (71.6%) patients had reliable LS measurements.""</p>","<p>""Patients with CLD referred to the Vienna Hepatic Hemodynamic Laboratory were included in this retrospective study if: (i) age &gt;18 years; (ii) simultaneous measurement of LS by TE and HVPG were performed and (iii) data on LB within a time frame of 3 months was available.""</p>",<p>LSM by VCTE. The cut-off value was not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>","<p>""Simultaneous measurements of LS by TE and HVPG were performed.""</p><p>""A total of 278 patients with CLD with available data on LB, TE and HVPG were identified. Twenty patients were excluded because of unreliable LB specimen and 32 patients were excluded because LB reports were not complete. Thus, the final data set included 226 patients. According to traditional TE criteria, 162 (71.6%) patients had reliable LS measurements.""</p>",,"<p>""The authors do not have any disclosures to report.""</p><p>""PS work was supported by the Joseph-Skoda Projektforderungspreis of the Austrian € Society of Internal Medicine to TR. MM and BAP work was supported by an unrestricted grant of Roche Austria to MPR. The FibroScan device was supported by a grant of MSD Austria to MPR.""</p>",2015.0,Europe,Full-text,Retrospective,Non-randomized,226.0,162.0,No exclusion criteria met,47.2,69.7,No data,53.7,,,12.3,,7.0,,,,,29.1,,Experienced physicians,LSM by VCTE,None,None,No data,No data,< one week,Non-specified,,79.1,No,No,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,Yes,None,None
Sohn 2011,2011,PUB,26589988,"<p>""Subjects of the study were drawn from consecutive series of 32 cirrhotic patients (male 23, mean age 50.8 ± 14.07 years).""</p>","<p>""Subjects of the study were drawn from consecutive series of 32 cirrhotic patients (male 23, mean age 50.8 ± 14.07 years). Twenty (62.5%) of 32 patients (viral 6, alcohol 17, virus + alcohol 4, others 5) had severe PHT.""</p>",<p>LSM by 2D-SWE. The cut-off value was not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: SPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>","<p>""The measurements of HVPG, LS by SWE and DI by DUS were performed on the same day.""</p>",,<p>Authors have nothing to disclose.</p>,2011.0,Other,Abstract,Retrospective,Non-randomized,32.0,32.0,No data,50.8,72.0,No data,100.0,,,53.0,,,,,,,,62.5,No data,LSM by 2D-SWE,None,None,No data,No data,< one week,Not VCTE,,,No,No CSPH analysis,Yes,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No data,None,None
Stefanescu 2013,2013,PUB,26589990,"<p>""We included 37 cirrhotics (mean age 55.08 years, 7 (18.9 % ) had LEV and 14 (37.3 % ) had hepatic venous pressure gradient &gt; 10 mm Hg (clinical significant portal hypertension, CSPH)).""</p>","<p>""We conducted a small bicentric study. In a training lot (Toulouse, France) we included 37 cirrhotics (mean age 55.08 years, 7 (18.9 % ) had LEV and 14 (37.3 % ) had hepatic venous pressure gradient &gt; 10 mm Hg (clinical significant portal hypertension, CSPH)).""</p>",<p>SSM by VCTE. The cut-off value was not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: SPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>",<p>No information on interval between index test and reference standard.</p>,,<p>The authors declare no conflict of interest.</p>,2013.0,Europe,Other,Retrospective,Non-randomized,37.0,37.0,No exclusion criteria met,55.0,,No data,100.0,,,,,,,,,,37.3,,No data,SSM by VCTE,None,None,No data,No data,No data,Non-specified,18.9,,No data on viral aetiology prevalence,No,No SPH analysis,No data on Child Pugh classification,No data on probe used,No data on probe used,No data,None,None
Takuma 2016,2016,PUB,26589992,"<p>""Eighty patients with liver cirrhosis underwent assessment of portal pressure and endoscopic findings before starting prophylactic treatment with a beta-blocker or endoscopic treatment; these patients were considered for inclusion in the study between February 2012 and August 2013 on being referred to the Kurashiki Central Hospital. Of these 80 patients, 18 were excluded for the following reasons: episodes of recent (&lt;6 months) gastrointestinal bleeding (n = 8), a history of splenectomy (n = 2), a history of partial splenic embolization (n = 2), a history of b-blocker therapy (n = 4), and the presence of portal thrombosis (n = 2). A diagnosis of cirrhosis was determined as described previously on the basis of the results of histologic examination of liver tissue or combined physical, laboratory, and radiologic findings. Among the 62 patients who satisfied the inclusion criteria, two had an inconclusive SS measurement because the spleen was poorly visualized secondary to obesity or gastrointestinal gas. In total, there were 60 patients in the final analysis group.""</p>","<p>""Eighty patients with liver cirrhosis underwent assessment of portal pressure and endoscopic findings before starting prophylactic treatment with a beta-blocker or endoscopic treatment; these patients were considered for inclusion in the study between February 2012 and August 2013 on being referred to the Kurashiki Central Hospital.""</p><p>""The mean age was 70.8 years, 34 patients (56.7%) were male, and 36 patients (60.0%) had histologically proven cirrhosis. A total of 34 patients (56.7%) had clinically important portal hypertension, 29 (48.3%) had severe portal hypertension, 24 (40.0%) had EVs, and 16 (26.7%) had high-risk EVs.""</p>",<p>SSM by pSWE. The cut-off values were not pre-specified. The investigators were blinded for the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. The investigators were blinded for the results of index test and reference standard.</p>","<p>""Within 1 week (mean, 2.3 days; range, 1–6 days) after the measurement of LS and SS, HVPG measurements were performed.""</p>",,"<p>""Authors disclosed no relevant relationships.""</p>",2016.0,Other,Full-text,Prospective,Non-randomized,80.0,60.0,No exclusion criteria met,71.0,56.7,No data,60.0,13.3,58.3,10.0,,,68.3,30.0,1.7,31.7,56.7,48.3,Experienced physicians,SSM by pSWE,None,None,Yes,Yes,< one week,Not VCTE,40.0,71.6,No,Yes,Yes,No,No SSM analysis,No SSM analysis,No,None,None
Taru 2023,2023,PUB,26589994,"<p>""Seventy-six consecutive patients with biopsy-proven NAFLD/NASH were included.""</p>","<p>""Seventy-six consecutive patients with biopsy-proven NAFLD/NASH were included.""</p><p>""The median HVPG was 7 (4-13) mmHg, and 27 (35.5%) patients had CSPH. The liver histology fibrosis scoring identified 1 (1.3%), 10 (13.2%), 18 (23.7%), 15 (19.7%) respectively 32 (42.1%) patients as F0, F1, F2, F3, respectively F4.""</p>",<p>LSM by VCTE. The cut-off value was pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>",<p>No information on interval between index test and reference standard.</p>,,<p>There is no data on disclosures and study funding.</p>,2023.0,Europe,Abstract,Retrospective,Non-randomized,76.0,62.0,No data,,,No data,,,,,,,,,,,39.0,,No data,LSM by VCTE,None,None,No data,No data,No data,Non-specified,,,No data on viral aetiology prevalence,No,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,Yes,None,None
Tseng 2018,2018,PUB,26589996,"<p>""Between July 2014 and June 2016, a total of 125 cirrhotic patients with large EV (18-80 years) were consecutively enrolled in the present study. Diagnosis of cirrhosis was based on clinical, biochemical, imaging (ultrasound and computed tomography) studies, while the diagnosis of large EV was based on upper gastrointestinal endoscopy. Patients were excluded if they have previously received endoscopic treatment for varices or were treated with nonselective beta-blockers (NSBB), has moderate to severe ascites, active alcohol intake within 4 weeks, or has an acute or chronic liver failure according to the Asian Pacific Association for the Study of the Liver guidelines,20 concurrent hepatocellular carcinoma, had a prior history of splenectomy, concurrent portal vein thrombosis, biliary obstruction, and cardiac failure, or unwillingness to participate in the study. Of the 125 patients, 15 were excluded (endoscopic treatment of varices, n = 1; NSBB treatment, n = 2; moderate to severe ascites, n = 1; hepatocellular carcinoma, n = 2; splenectomy, n = 3; portal vein thrombosis, n = 5; active alcohol intake, n = 1). Therefore, a total of 110 cirrhotic patients with large EV were finally enrolled.""</p><p>""Of the 110 patients included in the present study, 11 (10%) had an inconclusive SS and/or LS measurement (defined as failure [no valid measurement] and unreliable results [valid measurement &lt;10 or interquartile range &gt;30% of median value, or success rate &lt;60%]), and were excluded from the study (Figure 1). Of these 11 patients, 2 patients had failed measurements for both LS and SS due to a high body mass index with a median of 28 kg/m2 . SS was not measurable (no valid measurements obtained) in 7 patients because the spleen was not enlarged or the interposition of the lung or colonic gas. SS could be measured in the 2 remaining patients due to high interquartile range (&gt;30%).""</p>","<p>""Between July 2014 and June 2016, a total of 125 cirrhotic patients with large EV (18-80 years) were consecutively enrolled in the present study.""</p><p>""Of the 99 patients, etiology of cirrhosis included hepatitis B (n = 68, 68.6%), alcohol (n = 5, 5.1%), primary biliary cirrhosis (n = 8, 8.1%), autoimmune hepatitis (n = 5, 5.1%), hepatitis C (n = 3, 3.0%), nonalcoholic fatty hepatitis (n = 2, 2.0%), and cryptogenic cirrhosis (n = 8, 8.1%). All patients had large EV confirmed via upper gastrointestinal endoscopy. Almost all the patients finally enrolled (n = 96) were classified as CSPH, except for 3 patients(HVPG = 9 mm Hg).""</p>",<p>LSM and SSM by VCTE. The cut-off values were not pre-specified. The investigators were blinded for the results of index test and reference standard.</p>,"<p>Target condition: SPH, reference standard: HVPG. The investigators were blinded for the results of index test and reference standard.</p>","<p>""Index test were performed on the day prior to HVPG measurement.""</p>",,"<p>The authors state no conflict of interest.</p><p>""The study has been supported by the National Natural Science Foundation of China (81500457).""</p>",2018.0,Other,Full-text,Prospective,Non-randomized,110.0,99.0,Cholestatic liver disease,57.0,68.7,No data,100.0,3.0,68.6,5.1,2.0,,,,,,97.0,86.9,Experienced physicians,LSM by VCTE,SSM by VCTE,None,Yes,Yes,< one week,LSM@50Hz probe M,100.0,71.6,No,Yes,Yes,No data on Child Pugh classification,LSM 50Hz,M probe,No,None,None
Vizzutti 2007,2007,PUB,26589998,"<p>""All patients had previous histopathological evidence of cirrhosis (METAVIR F4) or a diagnosis of cirrhosis suspected on the basis of standard clinical, ultrasonographic, and biochemical parameters. These patients were subjected to the hemodynamic study to obtain a basal assessment of portal pressure before starting a prophylactic treatment with beta-blockers (primary prophylaxis, n=31) or to confirm the diagnosis of cirrhosis (n=30). In this latter group of patients, a transjugular liver biopsy was performed. All specimens were characterized by a length &gt; 2.5 cm and included more that 11 portal tracts. Histopathological analysis confirmed the diagnosis of cirrhosis in 16 patients (METAVIR F4) and revealed the presence of advanced fibrosis in 14 patients (METAVIR F3). Exclusion criteria were a body mass index &gt; 35, the presence of ascites at clinical or ultrasound examinations, the presence of other overt complications of cirrhosis including cardiopulmonary and renal involvement, hepatocellular carcinoma, transaminases &gt; 10 upper limit of normal, ongoing antiviral therapy, co-infection with HBV and/or human immunodeficiency virus, active infectious diseases other than HCV, any alcohol intake within the 6 months preceding the study, previous derivative treatments for portal hypertension, concomitant pre-sinusoidal and extrahepatic causes of portal hypertension, use of vasoactive drugs including beta-blockers, diuretics, and anti-inflammatory drugs, age younger than 18 or older than 75 years, and pregnancy. In each patient, all experimental procedures were performed on the same study day.""</p>","<p>""Sixty-one consecutive patients (39 men and 22 women, mean age 55.6) with chronic HCV infection underwent HVPG measurement between March 1, 2005 and July 1, 2006 upon referral to the Hemodynamic Laboratory of our Institution. All patients had previous histopathological evidence of cirrhosis (METAVIR F4) or a diagnosis of cirrhosis suspected on the basis of standard clinical, ultrasonographic, and biochemical parameters.""</p><p>""Among the 47 patients with previous or confirmed diagnosis of cirrhosis, 28 (59.57%) were classified as Child-Pugh class A, 14 (29.79%) as Child-Pugh class B, and 5 (10.64%) as Child-Pugh class C. Considering the whole population, six patients (9.83%) had no portal hypertension (i.e., HVPG &lt; 5 mm Hg), 8 patients (13.11%) had a pre-clinical portal hypertension (i.e., HVPG more than 5 but less than 10 mm Hg), 47 patients (77.05%) had a clinically significant portal hypertension (i.e., HVPG &gt; 10 mm Hg), of whom 35 (57.38%) had severe portal hypertension (i.e., HVPG &gt; 12 mm Hg). Twelve patients were listed in the HVPG range &gt; 10 &lt; 12 mm Hg (19.67%). Esophageal varices were present in 30 of 47 patients with cirrhosis.""</p><p>""At the time of the study no patient with cirrhosis showed clinical features of clinical decompensation (encephalopathy, recent gastrointestinal bleeding, ascites, or peripheral edema), or ultrasonographic evidence of HCC and portal vein thrombosis.""</p>",<p>LSM by VCTE. The cut-off values were not pre-specified. The investigators were blinded for the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. The investigators were blinded for the results of index test and reference standard.</p>","<p>""In each patient, all experimental procedures were performed on the same study day. Immediately after undergoing LSM, the patients were transferred to the Hepatic Hemodynamic Laboratory.""</p>",,"<p>""Authors have no disclosures to report.""</p><p>""Supported by grants from the Italian MIUR, the University of Florence and the Italian Liver Foundation.""</p>",2007.0,Europe,Full-text,Prospective,Non-randomized,61.0,61.0,No exclusion criteria met,55.6,64.0,No data,77.0,100.0,0.0,0.0,0.0,0.0,45.9,23.0,8.2,31.2,77.0,57.4,Experienced physicians,LSM by VCTE,None,None,Yes,Yes,< one week,Non-specified,73.8,100.0,Yes,Yes,Yes,No,No SSM analysis,No SSM analysis,No data,None,None
Wang 2020,2020,PUB,26590000,"<p>""The patients with chronic liver disease who underwent hepatic vein pressure gradient (HVPG) measurements were consecutively enrolled in this study from November 2017 to October 2019 in Beijing Friendship Hospital, Capital Medical University.""</p>","<p>""The patients with chronic liver disease who underwent hepatic vein pressure gradient (HVPG) measurements were consecutively enrolled in this study from November 2017 to October 2019 in Beijing Friendship Hospital, Capital Medical University.""</p><p>""A total of 27 patients were included eventually (mean age: 53.3, 66.6% male). The main liver disease etiologies of the patients included in the study were Hepatitis B virus infection (25.9%) and alcohol (25.9%). There were five patients with HVPG &lt; 12 mmHg and nine patients with HVPG &gt;= 20 mmHg. MRE measurements of the liver and spleen stiffness was successfully performed on all patients.""</p>",<p>SSM by MRE. The cut-off value was not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>","<p>""Liver stiffness and spleen stiffness were calculated by MRE within 1 week prior or inferior to HVPG measurement.""</p>",,<p>No data on conflicts of interests or funding.</p>,2020.0,Other,Abstract,Retrospective,Non-randomized,27.0,27.0,No exclusion criteria met,53.3,66.6,No data,,,25.9,25.9,,,,,,,,81.5,No data,SSM by MRE,None,None,No data,No data,< one week,Not VCTE,,,No,No CSPH analysis,Yes,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No,None,None
Yoo 2018,2018,PUB,26590002,"<p>""Between January 2015 and October 2017, 111 patients with advanced chronic liver disease who measured HVPG and liver stiffness by 2D-SWE consecutively within 6 months (183 days) were enrolled. 9 patients were excluded for the reasons as follows: 7 for concurrent hepatocellular carcinoma and 1 for post-transplantation state. Among them, 74 patients who received TE simultaneously were involved in the comparison analysis.""</p>","<p>""Between January 2015 and October 2017, 111 patients with advanced chronic liver disease who measured HVPG and liver stiffness by 2D-SWE consecutively within 6 months (183 days) were enrolled.""</p><p>""Total 103 patients were eligible for the analysis. The mean age was 54.1±9.7 years and 72.8% was male. Mean Child-Pugh score was 7.36±1.80. 82 patients (79.6%) were proved to have CSPH and 75 patients (72.8%) were proved to have SPH.""</p>",<p>LSM by 2D-SWE. The cut-off values were not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target conditions: CSPH and SPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>","<p>""Between January 2015 and October 2017, 111 patients with advanced chronic liver disease who measured HVPG and liver stiffness by 2D-SWE consecutively within 6 months (183 days) were enrolled.""</p>",,<p>No data on conflicts of interests or funding.</p>,2018.0,Other,Abstract,Retrospective,Non-randomized,111.0,103.0,No exclusion criteria met,54.1,72.8,No data,,,,,,,,,,,79.6,72.8,No data,LSM by 2D-SWE,None,None,No data,No data,> one week,Not VCTE,,,No data on viral aetiology prevalence,Yes,Yes,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No data,None,None
Zhang 2022,2022,PUB,26590004,"<p>""At first, 689 consecutive patients who had undergone HVPG examination were collected in the electronic medical record at our medical center and in which 173 patients who had undergone ultrasound elastography examination at the same time were found. Patients who did not meet the criteria were excluded according to the exclusion criteria and fnally, 137 patients were included. Serological examinations, liver elastography, ultrasound, or CT were performed within a week prior to HVPG measurements. Non-conforming patients were excluded according to the following criteria: 1. Patients who have previously received invasive examinations such as transjugular intrahepatic portosystemic shunt (TIPS), splenectomy, partial splenic embolization, balloon occlusion retrograde transvenous occlusion, endoscopic therapy, or liver transplantation. 2. The measurement of HVPG value was performed before the LS measurement, and the time interval was more than 15 days. 3. The patient had gastrointestinal bleeding within half a year.""</p>","<p>""This retrospective study was approved by the institutional review board (Decision date Oct 27, 2015. Decision number 2015146D) with waiver of informed consent. The subjects were clinical or pathologically diagnosed cirrhosis patients older than 18 years old and younger than 80 years old who underwent HVPG and TE examinations from July 2013 to October 2015.""</p><p>""A total of 137 patients were included in this study. The mean age of the whole cohort was 47.87±10.94 years old (range 18–79 years old), the mean BMI index was 23.05 (21.22–24.57), and there were 94 male patients (68.6%). There were 93 patients with hepatitis B (67.9%), and the etiology of 44 patients in non-hepatitis B group were hepatitis C (9 patients), alcoholic cirrhosis (13 patients), primary biliary cholangitis (10 patients), and others (12 patient). 64 patients (46.7%) had ascites. The median Child–Pugh score was 6 (IQR 5–7), 82 patients (59.9%) for Child–Pugh A, and 55 (40.1%) for Child–Pugh B. The mean value of HVPG was 15.08 ± 5.72 mmHg (range 4 patients (2.9%) had no portal hypertension (HVPG ≤ 5 mmHg), 107 patients (78.1%) had CSPH (HVPG ≥ 10 mmHg), 95 patients (69.3%) had SPH (HVPG ≥12 mmHg), and 61 patients (44.5%) had VSPH (HVPG ≥16 mmHg). The LS median value was 17.20 kPa (IQR 12.25–23.75 kPa).""</p>",<p>LSM by VCTE. The cut-off value was not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>","<p>""Serological examinations, liver elastography, ultrasound, or CT were performed within a week prior to HVPG measurements.""</p>",,"<p>The authors have no confict of interest to declare.</p>
<p>The authors declared that this study has received no financial support.</p>",2022.0,Other,Full-text,Retrospective,Non-randomized,173.0,137.0,Cholestatic liver disease,48.0,68.6,No data,100.0,6.5,67.9,9.5,,8.0,59.9,40.1,0.0,40.1,78.1,69.3,No data,LSM by VCTE,None,None,No data,No data,< one week,Non-specified,,73.4,No,Yes,Yes,No,No SSM analysis,No SSM analysis,No data,None,None
